# Start monitoring : /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/python /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/fc_run.py fc_run_dmagna_short.cfg
#
# System memory total  [MB]: 2068021
# - available at start [MB]: 1912681
# System swap total    [MB]: 0
# - free swap at start [MB]: 0
#
time(s):1175.2 sum_rss(MB):6253.9 sum_vms(MB):8500.6 numproc:13 numthreads:33 mem_avail(MB/%):1914305/92.6% swap_avail(MB/%):0/100.0%
time(s):1185.6 sum_rss(MB):6384.3 sum_vms(MB):8510.1 numproc:13 numthreads:33 mem_avail(MB/%):1912661/92.5% swap_avail(MB/%):0/100.0%
time(s):1196.0 sum_rss(MB):6201.5 sum_vms(MB):8482.5 numproc:13 numthreads:33 mem_avail(MB/%):1912382/92.5% swap_avail(MB/%):0/100.0%
time(s):1206.4 sum_rss(MB):4978.6 sum_vms(MB):6700.4 numproc:10 numthreads:23 mem_avail(MB/%):1913699/92.5% swap_avail(MB/%):0/100.0%
time(s):1216.8 sum_rss(MB):6413.0 sum_vms(MB):8287.9 numproc:13 numthreads:33 mem_avail(MB/%):1914040/92.6% swap_avail(MB/%):0/100.0%
time(s):1227.2 sum_rss(MB):4984.5 sum_vms(MB):6713.6 numproc:10 numthreads:26 mem_avail(MB/%):1916113/92.7% swap_avail(MB/%):0/100.0%
time(s):1237.7 sum_rss(MB):6366.4 sum_vms(MB):8566.6 numproc:13 numthreads:33 mem_avail(MB/%):1913104/92.5% swap_avail(MB/%):0/100.0%
time(s):1248.1 sum_rss(MB):6566.5 sum_vms(MB):8707.1 numproc:13 numthreads:33 mem_avail(MB/%):1913592/92.5% swap_avail(MB/%):0/100.0%
time(s):1258.6 sum_rss(MB):6435.0 sum_vms(MB):8559.1 numproc:13 numthreads:33 mem_avail(MB/%):1913779/92.5% swap_avail(MB/%):0/100.0%
time(s):1269.1 sum_rss(MB):4986.3 sum_vms(MB):6713.1 numproc:10 numthreads:26 mem_avail(MB/%):1915273/92.6% swap_avail(MB/%):0/100.0%
time(s):1279.4 sum_rss(MB):5016.6 sum_vms(MB):6482.2 numproc:10 numthreads:26 mem_avail(MB/%):1913993/92.6% swap_avail(MB/%):0/100.0%
time(s):1289.9 sum_rss(MB):5656.9 sum_vms(MB):7661.1 numproc:13 numthreads:33 mem_avail(MB/%):1913176/92.5% swap_avail(MB/%):0/100.0%
time(s):1300.3 sum_rss(MB):6584.7 sum_vms(MB):8723.4 numproc:13 numthreads:33 mem_avail(MB/%):1912301/92.5% swap_avail(MB/%):0/100.0%
time(s):1310.6 sum_rss(MB):6479.6 sum_vms(MB):8611.2 numproc:13 numthreads:33 mem_avail(MB/%):1913770/92.5% swap_avail(MB/%):0/100.0%
time(s):1321.0 sum_rss(MB):6473.3 sum_vms(MB):8601.0 numproc:13 numthreads:33 mem_avail(MB/%):1914269/92.6% swap_avail(MB/%):0/100.0%
time(s):1331.4 sum_rss(MB):6201.2 sum_vms(MB):8328.5 numproc:13 numthreads:33 mem_avail(MB/%):1914550/92.6% swap_avail(MB/%):0/100.0%
time(s):1341.8 sum_rss(MB):6457.0 sum_vms(MB):8586.5 numproc:13 numthreads:33 mem_avail(MB/%):1914746/92.6% swap_avail(MB/%):0/100.0%
time(s):1352.3 sum_rss(MB):4912.5 sum_vms(MB):6635.3 numproc:10 numthreads:26 mem_avail(MB/%):1914308/92.6% swap_avail(MB/%):0/100.0%
time(s):1362.7 sum_rss(MB):6145.7 sum_vms(MB):8020.6 numproc:13 numthreads:33 mem_avail(MB/%):1914297/92.6% swap_avail(MB/%):0/100.0%
time(s):1373.2 sum_rss(MB):6457.5 sum_vms(MB):8587.6 numproc:13 numthreads:33 mem_avail(MB/%):1912420/92.5% swap_avail(MB/%):0/100.0%
time(s):1383.5 sum_rss(MB):4989.4 sum_vms(MB):6717.3 numproc:10 numthreads:25 mem_avail(MB/%):1913788/92.5% swap_avail(MB/%):0/100.0%
time(s):1393.9 sum_rss(MB):6448.3 sum_vms(MB):8322.3 numproc:13 numthreads:32 mem_avail(MB/%):1915417/92.6% swap_avail(MB/%):0/100.0%
time(s):1404.4 sum_rss(MB):6584.5 sum_vms(MB):8722.0 numproc:13 numthreads:33 mem_avail(MB/%):1913718/92.5% swap_avail(MB/%):0/100.0%
time(s):1414.8 sum_rss(MB):6451.4 sum_vms(MB):8577.9 numproc:13 numthreads:33 mem_avail(MB/%):1912837/92.5% swap_avail(MB/%):0/100.0%
time(s):1425.2 sum_rss(MB):4535.2 sum_vms(MB):6721.5 numproc:10 numthreads:25 mem_avail(MB/%):1914097/92.6% swap_avail(MB/%):0/100.0%
time(s):1435.5 sum_rss(MB):4591.9 sum_vms(MB):6058.7 numproc:10 numthreads:26 mem_avail(MB/%):1914121/92.6% swap_avail(MB/%):0/100.0%
time(s):1445.9 sum_rss(MB):5861.4 sum_vms(MB):7748.4 numproc:13 numthreads:33 mem_avail(MB/%):1912886/92.5% swap_avail(MB/%):0/100.0%
time(s):1456.4 sum_rss(MB):6687.6 sum_vms(MB):8826.9 numproc:13 numthreads:33 mem_avail(MB/%):1915116/92.6% swap_avail(MB/%):0/100.0%
time(s):1466.8 sum_rss(MB):6460.9 sum_vms(MB):8592.8 numproc:13 numthreads:33 mem_avail(MB/%):1915163/92.6% swap_avail(MB/%):0/100.0%
time(s):1477.3 sum_rss(MB):6462.3 sum_vms(MB):8586.7 numproc:13 numthreads:33 mem_avail(MB/%):1913729/92.5% swap_avail(MB/%):0/100.0%
time(s):1487.7 sum_rss(MB):4641.9 sum_vms(MB):6365.3 numproc:10 numthreads:26 mem_avail(MB/%):1916446/92.7% swap_avail(MB/%):0/100.0%
time(s):1498.2 sum_rss(MB):6255.6 sum_vms(MB):8137.1 numproc:13 numthreads:33 mem_avail(MB/%):1913189/92.5% swap_avail(MB/%):0/100.0%
time(s):1508.7 sum_rss(MB):6269.6 sum_vms(MB):8630.7 numproc:13 numthreads:33 mem_avail(MB/%):1912657/92.5% swap_avail(MB/%):0/100.0%
time(s):1519.1 sum_rss(MB):6453.5 sum_vms(MB):8711.4 numproc:13 numthreads:33 mem_avail(MB/%):1913744/92.5% swap_avail(MB/%):0/100.0%
time(s):1529.6 sum_rss(MB):6469.8 sum_vms(MB):8597.3 numproc:13 numthreads:31 mem_avail(MB/%):1914550/92.6% swap_avail(MB/%):0/100.0%
time(s):1540.0 sum_rss(MB):5023.1 sum_vms(MB):6749.7 numproc:10 numthreads:22 mem_avail(MB/%):1915157/92.6% swap_avail(MB/%):0/100.0%
time(s):1550.5 sum_rss(MB):6168.2 sum_vms(MB):8040.2 numproc:13 numthreads:32 mem_avail(MB/%):1914189/92.6% swap_avail(MB/%):0/100.0%
time(s):1560.9 sum_rss(MB):6563.3 sum_vms(MB):8698.5 numproc:13 numthreads:33 mem_avail(MB/%):1912683/92.5% swap_avail(MB/%):0/100.0%
time(s):1571.4 sum_rss(MB):6445.6 sum_vms(MB):8569.2 numproc:13 numthreads:33 mem_avail(MB/%):1912283/92.5% swap_avail(MB/%):0/100.0%
time(s):1581.9 sum_rss(MB):4862.8 sum_vms(MB):6604.6 numproc:10 numthreads:25 mem_avail(MB/%):1914261/92.6% swap_avail(MB/%):0/100.0%
time(s):1592.3 sum_rss(MB):4672.6 sum_vms(MB):6146.1 numproc:10 numthreads:26 mem_avail(MB/%):1917110/92.7% swap_avail(MB/%):0/100.0%
